"Guid","SBQQ__IsRead__c","SBQQ__JobDetails__c","SBQQ__JobId__c","SBQQ__JobStatus__c","SBQQ__RecordId__c","SBQQ__RedirectUrl__c","SBQQ__Stacktrace__c"
0314c0d3-87fc-4cd2-b90f-9df69e9a6423,false,"#N/A","#N/A",Completed,a10006110046416AAA::AsyncRenewalJob,"#N/A","#N/A"
04f8d61d-c0df-4c6f-bab3-41db5e2bf837,false,"#N/A","#N/A",Completed,a10009278546416AAA::AsyncRenewalJob,"#N/A","#N/A"
07e480d6-8772-45af-8c86-06810fd9b0b0,false,"#N/A","#N/A",Completed,a10005685546416AAA::AsyncRenewalJob,"#N/A","#N/A"
0cd4bb5f-0e3f-4816-8233-4b0d3cf82995,false,"#N/A","#N/A",Completed,8003t000007veRHAAY::RenewContract,"#N/A","#N/A"
1207d964-6d35-4978-a20b-778a38039d72,false,"#N/A",7073t00006BaKkX,Completed,8003t000007veRHAAY::AmendContract,/apex/sbqq__sb?id=a0z3t00000F3SpfAAF,"#N/A"
150fd555-6eb4-423b-b312-e8051c33433e,false,"#N/A","#N/A",Completed,8003t000007vcgJAAQ::RenewContract,"#N/A","#N/A"
169f7081-b7c8-4476-979b-fe1601e8176e,false,"#N/A","#N/A",Completed,a10002699646655AAA::AsyncRenewalJob,"#N/A","#N/A"
1be6d424-76fb-4368-bb89-37a1fe17c33f,false,"#N/A","#N/A",Completed,a10002252646534AAA::AsyncRenewalJob,"#N/A","#N/A"
1c0a0aed-fe5a-4a82-a85b-4f9bd1d46a35,false,"#N/A","#N/A",Failed,a10006027346655AAA::AsyncAmendmentJob,"#N/A","#N/A"
1ddcd570-0b2d-4442-aff5-de046261c2c4,false,"#N/A","#N/A",Completed,8003t000007veQiAAI::RenewContract,"#N/A","#N/A"
2b01629b-201c-4bac-879b-29510044d4d2,false,"#N/A",7073t000067QHPW,Completed,a0z3t00000F3AmPAAV::QuoteCalculator,"#N/A","#N/A"
3e973ab0-569b-4e2c-bf7e-1b6e56a872d2,false,"#N/A","#N/A",Completed,a10000194846416AAA::AsyncRenewalJob,"#N/A","#N/A"
41554a32-813a-449f-ae24-91033057aa13,false,"#N/A","#N/A",Completed,a10002810446535AAA::AsyncAmendmentJob,"#N/A","#N/A"
4925f7c8-e296-4627-8e54-f8f012e0ec72,false,"#N/A","#N/A",Completed,8003t000007vexLAAQ::RenewContract,"#N/A","#N/A"
